ts_art,exchange,ask,bid,edad_seg
2026-09-18 06:40:08,bybitp2p,1593.3,1592.6,26
2026-09-18 06:40:08,cocoscrypto,1604.0022,1584.0018,35
2026-09-18 06:40:08,cryptomktpro,1615.1114,1569.8572,34
2026-09-18 06:40:08,decrypto,1608.5854,1549.6821,30
2026-09-18 06:40:08,eluter,1620.2523,1565.9511,34
2026-09-18 06:40:08,fiwind,1595.0,1584.0,34
2026-09-18 06:40:08,kucoinp2p,1610.0,1567.02,41
2026-09-18 06:40:08,lemoncash,1618.7397,1538.0105,34
2026-09-18 06:40:08,lemoncashp2p,1612.835,1567.135,34
2026-09-18 06:40:08,letsbit,1611.2552,1575.1661,22
2026-09-18 06:40:08,mexc,1663.7779,1592.8287,33
2026-09-18 06:40:08,nexo,1602.3026,1584.7579,33
2026-09-18 06:40:08,okexp2p,1594.85,1591.0,51
2026-09-18 06:40:08,peanut,1621.15,1563.82,36
2026-09-18 06:40:08,ripio,1612.34,1566.9658,13
2026-09-18 06:40:08,ripioexchange,1602.6735,1582.846,51
2026-09-18 06:40:08,saldo,1592.8276,1560.9885,31
2026-09-18 06:40:08,satoshitango,1629.1204,1584.0901,26
2026-09-18 06:40:08,tiendacrypto,1611.478,1573.262,33
2026-09-18 06:40:08,vitawallet,1612.4802,1566.1776,32
2026-09-18 06:40:08,wallbit,1636.029,1568.05,18
2026-09-18 06:47:34,astropay,1630.1671,1562.4268,49
2026-09-18 06:47:34,belo,1606.0,1584.0,49
2026-09-18 06:47:34,binance,1594.2948,1575.8872,0
2026-09-18 06:47:34,binancep2p,1594.45,1587.5,13
2026-09-18 06:47:34,bingxp2p,1598.0,1591.31,79
2026-09-18 06:47:34,bitgetp2p,1603.99,1591.1,38
2026-09-18 06:47:34,bitsoalpha,1602.9503,1582.5971,59
2026-09-18 06:47:34,buenbit,1621.7301,1582.1063,12
2026-09-18 06:47:34,bybit,1614.7057,1570.1293,31
2026-09-18 06:47:34,bybitp2p,1593.3,1592.6,38
2026-09-18 06:47:34,cocoscrypto,1604.0022,1584.0018,47
2026-09-18 06:47:34,cryptomktpro,1614.6969,1570.8859,46
2026-09-18 06:47:34,decrypto,1608.5854,1549.6821,43
2026-09-18 06:47:34,eluter,1620.2523,1565.9511,46
2026-09-18 06:47:34,fiwind,1595.0,1584.0,46
2026-09-18 06:47:34,kucoinp2p,1610.0,1567.02,23
2026-09-18 06:47:34,lemoncash,1618.7445,1538.0151,46
2026-09-18 06:47:34,lemoncashp2p,1612.835,1567.135,46
2026-09-18 06:47:34,letsbit,1611.2554,1575.1661,34
2026-09-18 06:47:34,mexc,1663.7779,1592.8287,45
2026-09-18 06:47:34,nexo,1602.5559,1585.0084,45
2026-09-18 06:47:34,okexp2p,1594.85,1591.0,5
2026-09-18 06:47:34,peanut,1621.15,1563.82,48
2026-09-18 06:47:34,ripio,1611.0,1566.9558,25
2026-09-18 06:47:34,ripioexchange,1602.8745,1582.846,3
2026-09-18 06:47:34,saldo,1592.8156,1560.9597,43
2026-09-18 06:47:34,satoshitango,1629.0727,1584.0437,39
2026-09-18 06:47:34,tiendacrypto,1611.478,1573.262,45
2026-09-18 06:47:34,vitawallet,1612.5447,1566.2403,44
2026-09-18 06:47:34,wallbit,1636.029,1568.0,30
2026-09-18 07:08:06,astropay,1630.2486,1562.5,36
2026-09-18 07:08:06,belo,1606.0,1584.0,36
2026-09-18 07:08:06,binance,1594.7952,1576.3818,48
2026-09-18 07:08:06,binancep2p,1593.78,1585.04,57
2026-09-18 07:08:06,bingxp2p,1598.0,1591.31,66
2026-09-18 07:08:06,bitgetp2p,1603.99,1591.1,55
2026-09-18 07:08:06,bitsoalpha,1603.1515,1582.8953,46
2026-09-18 07:08:06,buenbit,1621.7001,1582.0763,0
2026-09-18 07:08:06,bybit,1614.7057,1570.1293,52
2026-09-18 07:08:06,bybitp2p,1593.3,1592.6,55
2026-09-18 07:08:06,cocoscrypto,1604.0022,1584.0018,34
2026-09-18 07:08:06,cryptomktpro,1614.99,1570.6584,33
2026-09-18 07:08:06,decrypto,1608.5854,1549.6821,30
2026-09-18 07:08:06,eldoradop2p,1617.8598,1564.358,30
2026-09-18 07:08:06,eluter,1620.8626,1566.6393,33
2026-09-18 07:08:06,fiwind,1595.0,1584.0,33
2026-09-18 07:08:06,kucoinp2p,1610.0,1575.02,10
2026-09-18 07:08:06,lemoncash,1618.6813,1537.9551,33
2026-09-18 07:08:06,lemoncashp2p,1613.85,1567.135,33
2026-09-18 07:08:06,letsbit,1611.2552,1575.1661,21
2026-09-18 07:08:06,mexc,1663.7779,1592.8287,32
2026-09-18 07:08:06,nexo,1602.3801,1584.8345,32
2026-09-18 07:08:06,okexp2p,1594.85,1591.0,51
2026-09-18 07:08:06,peanut,1621.15,1563.82,35
2026-09-18 07:08:06,ripio,1612.52,1567.4733,12
2026-09-18 07:08:06,ripioexchange,1602.975,1583.045,50
2026-09-18 07:08:06,saldo,1592.6541,1561.8572,30
2026-09-18 07:08:06,satoshitango,1628.2712,1583.2485,26
2026-09-18 07:08:06,tiendacrypto,1611.478,1573.262,31
2026-09-18 07:08:06,vitawallet,1613.0875,1566.7675,31
2026-09-18 07:08:06,wallbit,1636.131,1568.03,17
2026-09-18 07:25:00,astropay,1630.2486,1562.5,37
2026-09-18 07:25:00,belo,1606.0,1584.0,37
2026-09-18 07:25:00,binance,1594.7952,1576.3818,48
2026-09-18 07:25:00,binancep2p,1591.0,1585.5,3
2026-09-18 07:25:00,bingxp2p,1598.0,1591.3,7
2026-09-18 07:25:00,bitgetp2p,1601.99,1591.1,56
2026-09-18 07:25:00,bitsoalpha,1602.6586,1582.5076,47
2026-09-18 07:25:00,buenbit,1621.4298,1581.8066,0
2026-09-18 07:25:00,bybit,1614.7057,1570.1293,60
2026-09-18 07:25:00,bybitp2p,1593.3,1592.6,8
2026-09-18 07:25:00,cocoscrypto,1604.0022,1584.0018,35
2026-09-18 07:25:00,cryptomktpro,1615.0002,1570.0946,34
2026-09-18 07:25:00,decrypto,1608.5854,1549.6821,30
2026-09-18 07:25:00,eldoradop2p,1617.8598,1564.358,61
2026-09-18 07:25:00,eluter,1620.8626,1566.541,34
2026-09-18 07:25:00,fiwind,1595.0,1584.0,34
2026-09-18 07:25:00,kucoinp2p,1598.0,1579.0,11
2026-09-18 07:25:00,lemoncash,1618.7089,1537.9813,34
2026-09-18 07:25:00,lemoncashp2p,1613.85,1567.135,34
2026-09-18 07:25:00,letsbit,1611.2554,1575.1661,22
2026-09-18 07:25:00,mexc,1663.7779,1592.8287,32
2026-09-18 07:25:00,nexo,1602.3575,1584.8121,33
